levels,book_samples
1,1001
2,2102
3,748
4,459
5,234
6,430
7,123
8,76
9,91
10,141
11,236
12,178
13,607
14,4876
15,4264
16,7667
17,7783
18,8044
19,7388
20,7110
21,6810
22,6524
23,5987
24,5890
25,5593
26,6504
27,6061
28,6078
29,5249
30,5990
31,6101
32,6128
33,6690
34,5590
35,5356
36,5362
37,5101
38,5591
39,5403
40,5173
41,5004
42,4649
43,4338
44,4556
45,4935
46,4834
47,4822
48,4526
49,4641
50,4171
51,4331
52,4640
53,4641
54,4628
55,4403
56,4127
57,4285
58,4117
59,4451
60,4681
61,4281
62,4217
63,4078
64,3838
65,3921
66,3749
67,3843
68,3741
69,3747
70,3626
71,3419
72,3359
73,3105
74,3094
75,2914
76,2764
77,2615
78,2719
79,2659
80,2637
81,2559
82,2476
83,2357
84,2283
85,2210
86,1933
87,1801
88,1883
89,1880
90,1825
91,1650
92,1625
93,1690
94,1608
95,1679
96,1665
97,1520
98,1569
99,1495
100,1496
101,1476
102,1535
103,1527
104,1348
105,1323
106,1286
107,1197
108,1218
109,1029
110,1108
111,1142
112,1156
113,1115
114,1164
115,1130
116,1133
117,1004
118,1020
119,1095
120,1084
121,954
122,909
123,906
124,900
125,819
126,716
127,789
128,746
129,746
130,706
131,689
132,639
133,613
134,636
135,630
136,654
137,719
138,693
139,678
140,573
141,583
142,589
143,650
144,672
145,559
146,547
147,545
148,520
149,554
150,508
151,443
152,476
153,459
154,487
155,521
156,474
157,480
158,487
159,455
160,471
161,474
162,435
163,442
164,412
165,395
166,397
167,354
168,377
169,363
170,372
171,359
172,339
173,340
174,340
175,358
176,330
177,365
178,375
179,391
180,350
181,324
182,317
183,358
184,347
185,327
186,337
187,284
188,292
189,265
190,278
191,357
192,353
193,275
194,370
195,312
196,304
197,247
198,291
199,259
200,271
201,268
202,273
203,219
204,215
205,225
206,262
207,259
208,232
209,189
210,201
211,176
212,185
213,213
214,187
215,200
216,217
217,200
218,268
219,225
220,178
221,256
222,246
223,205
224,226
225,184
226,170
227,168
228,177
229,169
230,182
231,227
232,188
233,185
234,189
235,173
236,172
237,213
238,198
239,198
240,215
241,174
242,166
243,152
244,129
245,169
246,128
247,125
248,124
249,116
250,138
251,118
252,100
253,123
254,116
255,122
256,129
257,164
258,108
259,97
260,100
261,112
262,89
263,119
264,118
265,122
266,128
267,103
268,86
269,102
270,99
271,92
272,92
273,77
274,98
275,87
276,84
277,95
278,58
279,88
280,80
281,86
282,75
283,88
284,102
285,74
286,80
287,82
288,76
289,69
290,80
291,63
292,75
293,94
294,74
295,78
296,75
297,116
298,115
299,152
300,127
301,129
302,124
303,87
304,93
305,74
306,84
307,81
308,62
309,70
310,74
311,70
312,72
313,78
314,98
315,86
316,112
317,107
318,127
319,104
320,94
321,146
322,108
323,87
324,100
325,78
326,68
327,95
328,87
329,71
330,60
331,47
332,65
333,59
334,46
335,44
336,46
337,35
338,40
339,48
340,52
341,46
342,53
343,51
344,44
345,55
346,56
347,70
348,52
349,57
350,52
351,56
352,42
353,72
354,41
355,47
356,46
357,46
358,36
359,36
360,38
361,30
362,43
363,37
364,48
365,37
366,50
367,42
368,65
369,53
370,72
371,55
372,49
373,50
374,48
375,45
376,39
377,39
378,38
379,25
380,36
381,35
382,27
383,29
384,42
385,61
386,28
387,24
388,21
389,28
390,29
391,32
392,37
393,40
394,33
395,48
396,42
397,77
398,56
399,46
400,8037
