symbol,adds,removals,executions
QQQ,2474705,2261270,45449
SPY,2363034,2068166,80910
TQQQ,1806195,1539947,27860
IWM,1259813,1151881,30323
DIA,1254648,961810,10082
AMD,1220991,1112128,52350
AAPL,1058482,907157,55395
URTY,1002709,387534,161
TVIX,985099,761604,34109
MSFT,961845,842425,86673
XLK,934729,860059,14877
GOOGL,921932,683727,12921
SH,880517,841813,1197
INTC,839367,746650,32397
TNA,790750,548544,3289
EWZ,750565,657028,17154
MU,740224,666102,36783
TLT,739200,627221,16786
GOOG,728581,532039,9843
QLD,727037,426418,769
SQQQ,725215,665013,12608
XLI,714079,649907,14952
TZA,711943,614669,3884
XLV,694189,643617,16260
FB,694063,568178,87867
UVXY,691773,623935,24634
IVV,674520,515581,6156
GLD,662747,574190,7795
XLE,661613,606593,16745
VXX,649699,577632,29818
XLY,648281,576917,11731
VTI,641866,584866,3340
SVXY,613098,532438,7039
UDOW,605661,329462,560
SPXL,604876,466615,5926
NUGT,602072,522836,16868
SMH,582713,503330,10689
UWM,579168,275409,136
GDXJ,568635,519199,9123
CSCO,563957,519886,17644
VOO,560027,429730,7887
EEM,521928,476841,12706
TSLA,517841,422317,91391
SLB,502522,472709,12546
IJR,495453,453586,7349
SSO,493623,306484,2635
JPM,479665,438270,13401
DIS,474143,425010,19575
AMAT,454572,407589,21516
TECL,453219,155744,544
XLB,450263,409700,10389
BAC,447418,400165,14159
IYR,447217,398402,8947
UPRO,444627,314142,2831
WFC,436236,390187,11230
KRE,426556,374373,8239
GDX,425837,382800,8810
CMCSA,424120,383389,20576
ACWI,407769,366180,3937
IEMG,407414,375364,4242
IWN,404366,358681,2737
RDS.A,404136,358564,10602
XLP,404101,375468,8435
MRVL,402328,366041,21639
XOM,397723,357945,18590
JD,395241,364170,19382
C,393641,347837,13083
VNQ,389019,360724,7266
SBUX,387340,341632,27182
EFA,386146,343480,5617
MCHI,385115,338913,6655
MS,383610,346536,12772
XBI,371115,328187,10684
SPXU,354731,291243,4177
T,354632,319927,20062
XLU,352466,312212,10142
UBER,350094,314071,13459
EDZ,349657,303818,3470
VWO,348379,314984,4635
IBB,348004,305697,10538
SCHW,347207,311358,14909
PBR,346724,324877,5978
PYPL,340606,286204,29435
AMZN,340415,284762,36084
BRZU,338512,265924,7434
QID,337768,310652,1231
TMF,336161,277993,3743
TSM,334859,298606,14300
IWB,328495,263942,2163
ABBV,327307,297446,14324
ATVI,325042,297153,13175
ON,324433,303026,14798
AMTD,323708,296433,10279
UWT,320378,276243,6676
PFE,319011,287318,15996
FITB,316605,294660,10973
NVDA,312832,243828,21141
CVX,312775,285063,11769
SOXL,312497,130467,2090
USB,311654,285301,12405
TXN,309312,269327,18383
EBAY,308699,276298,15901
AAL,304033,272285,15867
ORCL,303960,278263,7444
BP,302297,273445,5895
QCOM,302218,257790,25009
XLC,301015,270122,2765
SDS,299768,254713,1975
XLF,299691,278349,8351
IWF,299091,229906,2324
NEM,298386,280001,6657
UCO,297577,254857,3125
DWAT,297543,265313,11
MET,295256,273517,9178
LABD,294973,274330,5391
VIXY,290770,262699,3183
XRT,289262,264491,5255
GILD,288321,261109,15119
IWO,284097,220462,1948
VGT,282149,184708,1034
DVN,280918,262032,8315
XOP,279576,255637,10080
LK,277556,238400,38179
JNUG,276731,225321,3823
JDST,275911,257505,5333
VALX,272942,272823,3
HSBC,272609,242338,2909
TWTR,271846,250378,9427
GE,271837,252952,14391
EWJ,269774,243659,4102
RIO,269035,248695,2857
KO,268496,238995,13512
NFLX,264474,220851,19345
SCO,264122,221269,2440
EWY,261293,228997,7266
IJH,260538,218412,1344
XLNX,258155,223825,21618
EDC,257836,170289,1046
MDLZ,257332,224080,23438
CCL,256784,217590,18633
FXI,255670,228126,9746
PBR.A,254525,236424,3735
VUG,254192,231956,1410
GOLD,253704,237016,3934
SOXS,253608,232947,7236
FAS,253581,189685,892
VIAC,253102,231022,18153
GSK,253030,230020,2997
BMY,252024,225746,10928
COP,251537,226294,9664
AZN,251051,233799,5111
UN,249423,211726,2164
IEFA,248979,222425,2559
FBGX,243282,242756,12
HAL,243208,220036,8322
VALE,242374,227642,6116
LABU,240692,166851,2671
MT,238433,222118,3900
NKE,238029,210713,12850
SCHX,237386,224337,863
BBL,237199,204195,3049
MDY,235503,178313,3554
IVE,234860,199900,3542
VTWO,234649,215916,570
GM,234226,214543,8760
EWG,233598,222432,955
DXJ,233015,205098,1726
SDOW,232299,163037,1996
WDC,229524,195409,18916
TCOM,229338,207809,14586
IWD,229096,202963,3491
JNJ,228922,204665,8551
KHC,228677,208334,11114
ITB,228632,203952,4088
BSX,228297,211180,8107
SQ,227720,202238,8994
IEF,227356,206275,2356
SOXX,226823,156140,3114
CNQ,226687,215667,2459
SAP,226383,204621,3666
PEP,225964,197884,10772
STM,225924,201747,3241
CFG,225336,207327,5929
VZ,224420,211834,12351
BABA,224153,178626,16447
ZION,223831,206973,5615
FAST,221998,199453,11126
LB,221424,198185,6006
AU,220673,206954,3580
UAL,219725,188366,17578
SPXS,217581,177630,3337
SNAP,217470,202103,6567
SYF,217458,199704,5866
ROKU,217332,166398,9122
FTI,217221,192690,8006
ASML,216984,154115,3016
OXY,216465,202621,9011
V,215575,200184,13490
KBE,215244,185156,2598
WBA,214838,196375,8954
