levels,book_samples
2,658
3,262
4,776
5,156
6,1020
7,728
8,666
9,576
10,616
11,731
12,1001
13,1113
14,3802
15,4730
16,7396
17,7403
18,8479
19,8659
20,8317
21,7472
22,6852
23,6023
24,5968
25,5350
26,5830
27,5916
28,6094
29,6174
30,6057
31,6868
32,6531
33,6300
34,5929
35,5871
36,5332
37,5473
38,5184
39,4869
40,4802
41,5058
42,4977
43,5062
44,5078
45,5010
46,4701
47,4886
48,4855
49,4984
50,4934
51,4524
52,4483
53,4706
54,4556
55,4678
56,4669
57,4647
58,4683
59,4721
60,4576
61,4585
62,4540
63,4454
64,4401
65,4085
66,3849
67,3807
68,3641
69,3614
70,3559
71,3244
72,3155
73,2941
74,3024
75,2809
76,2833
77,2591
78,2461
79,2399
80,2271
81,2448
82,2277
83,2313
84,2136
85,2107
86,2233
87,2076
88,1925
89,1861
90,1733
91,1696
92,1766
93,1702
94,1636
95,1583
96,1503
97,1450
98,1581
99,1593
100,1517
101,1325
102,1242
103,1248
104,1185
105,1117
106,1222
107,1274
108,1138
109,1228
110,1150
111,1147
112,1191
113,1088
114,1003
115,1083
116,1139
117,1141
118,1062
119,1037
120,973
121,982
122,914
123,829
124,911
125,899
126,836
127,866
128,924
129,773
130,792
131,848
132,781
133,771
134,764
135,756
136,739
137,746
138,693
139,670
140,692
141,659
142,604
143,552
144,536
145,528
146,509
147,458
148,468
149,529
150,511
151,555
152,494
153,463
154,472
155,531
156,488
157,540
158,509
159,436
160,436
161,420
162,430
163,400
164,398
165,404
166,393
167,419
168,486
169,470
170,448
171,489
172,482
173,391
174,392
175,332
176,331
177,387
178,336
179,320
180,332
181,348
182,358
183,390
184,333
185,338
186,345
187,381
188,348
189,367
190,409
191,371
192,353
193,379
194,318
195,304
196,347
197,302
198,321
199,252
200,242
201,272
202,276
203,258
204,266
205,313
206,239
207,221
208,251
209,260
210,259
211,211
212,260
213,227
214,201
215,193
216,261
217,198
218,168
219,200
220,177
221,185
222,192
223,192
224,217
225,201
226,164
227,191
228,175
229,204
230,182
231,180
232,186
233,200
234,211
235,203
236,169
237,167
238,173
239,193
240,160
241,118
242,161
243,145
244,157
245,161
246,168
247,161
248,135
249,129
250,120
251,108
252,119
253,128
254,93
255,89
256,125
257,118
258,110
259,114
260,134
261,98
262,119
263,126
264,106
265,107
266,98
267,116
268,94
269,83
270,94
271,103
272,110
273,93
274,128
275,100
276,109
277,96
278,104
279,112
280,101
281,94
282,103
283,88
284,94
285,87
286,76
287,69
288,58
289,92
290,81
291,105
292,79
293,72
294,122
295,129
296,110
297,146
298,151
299,95
300,89
301,92
302,110
303,116
304,133
305,117
306,103
307,96
308,93
309,88
310,72
311,85
312,52
313,46
314,55
315,59
316,69
317,125
318,73
319,73
320,62
321,85
322,76
323,68
324,61
325,87
326,89
327,82
328,67
329,73
330,56
331,60
332,41
333,45
334,42
335,49
336,63
337,53
338,71
339,67
340,79
341,93
342,77
343,93
344,65
345,67
346,58
347,56
348,56
349,47
350,60
351,58
352,63
353,59
354,36
355,41
356,42
357,50
358,35
359,35
360,45
361,48
362,40
363,52
364,55
365,50
366,50
367,54
368,49
369,44
370,48
371,39
372,45
373,51
374,44
375,41
376,38
377,30
378,28
379,42
380,38
381,47
382,34
383,38
384,31
385,56
386,47
387,30
388,43
389,49
390,38
391,37
392,34
393,44
394,36
395,26
396,44
397,28
398,42
399,46
400,8814
