symbol,adds,removals,executions
QQQ,1221096,1111822,22095
SPY,1109146,991829,42635
IWM,1004648,926749,20657
TQQQ,874084,746238,15425
AAPL,795712,698744,60543
URTY,790501,334364,88
AMD,733505,686997,37789
MSFT,630899,576026,35315
TNA,512422,426892,2476
DIA,503663,421118,4956
XLK,487448,447239,7573
XLY,465902,434113,5462
TVIX,456078,362623,17201
NUGT,443406,386802,16258
GOOGL,439123,334819,7967
MU,421981,371315,22243
SLB,405976,379991,7790
GDXJ,405273,362434,9793
EWZ,400536,357692,10348
NIO,394236,327911,68555
INTC,391814,351663,19405
GOOG,365128,294393,6549
TZA,361528,327247,1753
SVXY,352006,320290,5500
VTI,343871,320093,5429
XLV,341616,314948,5334
XLE,339344,311075,9083
SH,336159,310433,447
SMH,332349,293145,6430
GDX,329528,290652,9826
VNQ,328617,306851,5294
IVV,324321,268051,2939
JPM,323968,298854,9789
XLI,310180,286841,6591
SSO,308766,248013,1618
C,307491,279584,8238
SQQQ,301142,271617,5103
UVXY,296193,265683,9775
VXX,295923,263948,13048
UWM,294107,184651,128
FB,288078,242917,24943
AMZN,287475,232975,15123
TSLA,286674,228513,37610
CSCO,284929,256842,11996
KRE,283779,250962,5554
IJR,277559,258789,4137
XOP,276713,249330,7743
TLT,275714,249183,10017
BABA,274670,242078,11186
IYR,273655,245646,7316
VOO,272412,227647,2393
AMAT,260635,236241,8665
XBI,258363,239735,6345
XOM,256089,232283,8512
NEM,255619,236323,4654
SBUX,254969,232299,10781
IBB,254351,230033,9791
QLD,250985,172959,928
SPXL,248042,178769,2695
NVDA,244389,202146,19182
BRZU,239382,202962,2134
ROKU,237363,196876,20657
WFC,235679,207713,7255
BAC,232072,210685,7259
CMCSA,230182,208427,12046
MRK,223343,204647,5472
UDOW,219394,133914,403
HAL,218975,194269,5703
IWN,216352,191378,2689
QCOM,216241,189979,13576
AAL,215918,203037,6980
XLU,215898,196195,6154
UCO,215321,194306,1429
MS,213223,194090,5998
XLB,213093,199568,3355
UWT,212424,191593,2644
UPRO,209778,175990,2299
DWAT,204347,191671,4
PAAS,203127,185986,6343
XRT,201295,184738,2846
UN,195592,171131,1259
ABBV,195244,178062,7600
RDS.A,195201,167024,2398
GOLD,194635,180032,3126
V,194310,188994,7927
GLD,194256,178169,3680
USB,192537,178470,5204
ATVI,192465,174277,6827
LK,190757,167529,18561
GILD,189274,171673,11786
TWTR,188113,169855,6608
XLP,187623,175356,3234
SNAP,186064,167116,6838
UBER,185361,166938,9401
CCL,184660,166901,4099
PYPL,184564,161409,11118
TECL,184067,76360,175
BMY,183900,169331,7707
RIO,181559,169233,2203
EFA,181107,164623,3553
FIHD,180753,87765,6
DVN,180565,168377,3853
IJH,180020,148940,2526
KO,179582,162902,4926
MRVL,179439,164901,6554
AU,177435,163388,3003
SCHW,176646,161229,5987
IWF,176565,148567,3503
BP,174521,160099,2981
CNQ,173341,164430,1486
VZ,173234,159477,5052
NFLX,172943,138474,11791
JD,172480,157319,8176
PFE,171959,159209,4869
RAD,171713,149654,12110
NKE,171704,153435,5651
EBAY,171072,158420,7368
ON,169757,158474,4507
IWO,168631,136476,883
LABU,168628,129076,1769
JDST,168586,157693,4425
ORCL,166706,150072,6095
PG,165372,145869,6594
M,164311,147047,5844
APA,163914,146625,6699
DIS,163640,146173,8000
AZN,163360,147978,3214
FAS,162617,132228,355
ERX,162179,151032,1890
GSK,161049,147604,2302
OXY,159246,150239,8617
ACWI,156679,141017,1133
ADBE,156393,118700,6864
WBA,154779,140195,6698
XME,154555,141043,2618
TXN,154027,136477,7280
T,153947,143125,7087
SVRA,153901,124533,30921
MIK,153345,131911,12648
UGAZ,152553,125155,5068
FTI,152514,139851,2294
GUSH,151742,108732,2343
SOXL,149991,65803,870
VIXY,149624,135735,2291
COP,148339,133085,5829
QID,147817,124395,748
LEN,147622,142245,11072
WPM,147466,137543,2658
GM,147210,130871,4702
TSM,146504,132397,4725
CFG,146068,134361,2628
RDS.B,145199,131181,1853
WDC,144851,128750,8302
AG,143974,135125,3023
KHC,143569,131425,6193
HPE,143321,129765,7413
MDY,143019,111938,2278
EWW,142898,129348,2356
WPX,142670,128040,3932
FITB,142268,131592,4894
MDLZ,141904,127538,5027
SOXX,140947,104692,1994
JNUG,140340,123252,3331
WMB,139148,126285,4359
AMTD,139016,130567,3379
MCHI,138646,125722,2147
PE,138091,127594,3760
MET,137850,130024,3516
MT,137236,124868,1449
ERY,136488,103937,975
SPXU,135367,116011,1282
TECK,134913,129814,1453
IQ,133177,120191,7663
XLNX,132865,116393,7546
EQT,131893,120110,4324
SOXS,131857,126081,2767
EEM,131702,124313,4563
ASML,131618,98958,2076
TJX,130080,115760,4638
IWB,130003,107455,1475
NOV,129001,117447,3454
CVS,127872,115487,4073
X,127721,114848,4819
VIAC,127573,116573,7100
XEL,127562,116716,4998
SYF,127432,117679,3200
VALX,125827,115820,23
WLL,125757,113548,3248
TS,125617,118670,3253
XLF,124913,117845,2711
PHM,124619,113984,4543
MRO,124491,116467,2065
DISCA,124376,111878,3781
XLC,124102,115233,1203
VGK,124021,112190,1595
LABD,123936,114865,2264
MO,122608,108955,6216
PTEN,122207,112233,4078
FBGX,121991,121933,2
BBBY,121458,108027,6056
